THEME|DESCRIPTION|2_CLASSES|5_CLASSES|LABEL_1|LABEL_2|LABEL_3|LABEL_4
Demande de liste d'attente pour articles épuisés|Inscription sur une liste d'attente pour des articles actuellement en rupture de stock.|Informations et services spécialisés|Services exclusifs, programmes et personnalisations|Attente|Rupture|Stock|Inscription
Renseignements sur les retours de cadeaux|Comment retourner un article reçu en cadeau.|Informations et services spécialisés|Services exclusifs, programmes et personnalisations|Cadeau|Article|Processus|Information
Demande d'informations sur les paiements fractionnés|Options de paiement en plusieurs fois pour des achats importants.|Informations et services spécialisés|Services exclusifs, programmes et personnalisations|Fractionné|Option|Facilité|Achat
Questions sur la sécurité des produits|Concernes sur la sécurité et la non-toxicité des teintures et matériaux utilisés.|Informations et services spécialisés|Conseils et informations produits|Produit|Matériau|Teinture|Conformité
Problèmes avec des commandes multiples|Assistance pour des commandes accidentellement dupliquées.|Support client opérationnel|Assistance technique et support immédiat|Multiple|Problème|Assistance|Correction
Demande d'informations sur les pop-up stores|Lieux et dates des prochains pop-up stores ELEGANA.|Informations et services spécialisés|Engagements, événements et initiatives|Pop-up|Store|Lieu|Date
Questions sur l'accessibilité du site|Accessibilité pour les personnes à mobilité réduite ou ayant d'autres besoins spécifiques.|Informations et services spécialisés|Engagements, événements et initiatives|Site|Utilisateur|Spécifique|Facilité
Problèmes de connexion au compte via les réseaux sociaux|Difficultés à lier ou se connecter au compte ELEGANA via Facebook, Google, etc.|Support client opérationnel|Assistance technique et support immédiat|Compte|Réseau|Social|Difficulté
Demande d'informations sur les achats en gros|Conditions et possibilités pour les achats en gros ou pour les professionnels.|Informations et services spécialisés|Services exclusifs, programmes et personnalisations|Gros|Condition|Professionnel|Possibilité
Renseignements sur la participation à des foires de mode|Participation d'ELEGANA à des événements ou des foires de mode internationaux.|Informations et services spécialisés|Engagements, événements et initiatives|Foire|Mode|Événement|Internationale
Demande de conseils pour les achats internationaux|Conseils pour les clients internationaux effectuant des achats depuis l'étranger.|Informations et services spécialisés|Services exclusifs, programmes et personnalisations|Achat|International|Client|Étranger
Questions sur les initiatives de reforestation ou caritatives|Engagement d'ELEGANA dans des projets écologiques ou humanitaires.|Informations et services spécialisés|Engagements, événements et initiatives|Reforestation|Engagement|Humanitaire|Écologique
Problèmes d'usure prématurée des produits|Signalement d'usure anormale d'articles après un usage modéré.|Informations et services spécialisés|Services exclusifs, programmes et personnalisations|Produit|Prématuré|Signalement|Qualité
Demande de suivi détaillé des commandes|Souhait d'obtenir des mises à jour plus fréquentes ou détaillées sur le statut d'une commande.|Support client opérationnel|Commandes, livraison et suivi|Commande|Détail|Mise à jour|Statut
Informations sur les échanges culturels et artistiques|Participation de la marque à des échanges culturels ou à des projets artistiques.|Informations et services spécialisés|Engagements, événements et initiatives|Culturel|Artistique|Partenaire|Collaboration
Demande de sponsoring pour des projets de mode|Possibilités de soutien par ELEGANA pour des projets de mode ou des jeunes créateurs.|Informations et services spécialisés|Services exclusifs, programmes et personnalisations|Projet|Mode|Soutien|Créatif
Questions sur la recyclabilité des produits|Informations sur la fin de vie des produits et les possibilités de recyclage.|Informations et services spécialisés|Engagements, événements et initiatives|Produit|Fin|Cycle|Écologique
Renseignements sur les ateliers de création|Organisation d'ateliers pour découvrir les coulisses de la création des collections.|Informations et services spécialisés|Engagements, événements et initiatives|Création|Organisation|Collection|Coulisse
Demande d'informations sur les services après-vente|Disponibilité et conditions des services après-vente pour les produits achetés.|Informations et services spécialisés|Services exclusifs, programmes et personnalisations|Après-vente|Disponibilité|Condition|Produit
Problèmes avec l'application mobile ELEGANA|Difficultés techniques ou bugs rencontrés sur l'application mobile de la marque.|Informations et services spécialisés|Services exclusifs, programmes et personnalisations|Mobile|Problème|Technique|Bug
Demande de conseils pour un style de vie éco-responsable|Conseils pour adopter un style de vie plus durable tout en restant à la mode.|Informations et services spécialisés|Engagements, événements et initiatives|Écoresponsable|Style|Durabilité|Mode
Questions sur l'impact environnemental de la production|Curiosité sur les mesures prises par ELEGANA pour minimiser son empreinte écologique.|Informations et services spécialisés|Engagements, événements et initiatives|Environnemental|Production|Empreinte|Mesure
Statut de commande|Demande de mise à jour sur l'état d'une commande.|Support client opérationnel|Commandes, livraison et suivi|Statut|Mise à jour|Information|Demande
Retard de livraison|Réclamation concernant une livraison qui n'arrive pas dans les délais prévus.|Support client opérationnel|Commandes, livraison et suivi|Livraison|Réclamation|Délai|Problème
Article manquant|Signalement qu'un ou plusieurs articles commandés sont absents de la livraison.|Support client opérationnel|Commandes, livraison et suivi|Manquant|Signalement|Commande|Livraison
Produit endommagé|Notification de réception d'articles abîmés ou défectueux.|Support client opérationnel|Commandes, livraison et suivi|Endommagé|Notification|Qualité|Assistance
Demande de retour|Information sur comment retourner un produit non désiré ou inadéquat.|Support client opérationnel|Commandes, livraison et suivi|Produit|Information|Processus|Détail
Problème de remboursement|Questions concernant le statut ou le retard d'un remboursement.|Support client opérationnel|Commandes, livraison et suivi|Problème|Statut|Retard|Demande
Échange de produit|Demande d'échange pour un autre taille, couleur ou produit.|Support client opérationnel|Commandes, livraison et suivi|Produit|Taille|Couleur|Option
Taille incorrecte|Problème de taille ou de coupe ne correspondant pas aux attentes.|Support client opérationnel|Commandes, livraison et suivi|Incorrecte|Problème|Coupe|Conformité
Erreur de produit|Réception d'un article différent de celui commandé.|Support client opérationnel|Commandes, livraison et suivi|Produit|Commande|Correction|Assistance
Problème de qualité|Plainte concernant la qualité inférieure d'un produit.|Support client opérationnel|Commandes, livraison et suivi|Produit|Plainte|Standard|Inférieur
Instructions de lavage|Demande d'informations sur le soin des produits.|Informations et services spécialisés|Conseils et informations produits|Lavage|Conseil|Entretien|Produit
Demande d'informations produit|Questions spécifiques sur les caractéristiques d'un produit.|Informations et services spécialisés|Conseils et informations produits|Produit|Caractéristique|Spécifique|Demande
Disponibilité des stocks|Interrogation sur la remise en stock d'articles épuisés.|Support client opérationnel|Commandes, livraison et suivi|Stock|Produit|Rupture|Remise
Code promo non valide|Problème avec l'utilisation d'un code promotionnel.|Support client opérationnel|Services exclusifs, programmes et personnalisations|Promo|Non-valide|Problème|Réduction
Erreur de facturation|Discrepances ou erreurs sur les montants facturés.|Support client opérationnel|Services exclusifs, programmes et personnalisations|Facturation|Montant|Discrépance|Correction
Modification de commande|Demande de changement après la finalisation de la commande.|Support client opérationnel|Services exclusifs, programmes et personnalisations|Commande|Changement|Finalisation|Demande
Annulation de commande|Souhait d'annuler une commande avant son expédition.|Support client opérationnel|Services exclusifs, programmes et personnalisations|Commande|Expédition|Problème|Prévention
Paiement refusé|Problèmes rencontrés lors du processus de paiement.|Support client opérationnel|Services exclusifs, programmes et personnalisations|Refusé|Problème|Transaction|Achat
Compte client|Difficultés d'accès ou de gestion du compte client.|Support client opérationnel|Services exclusifs, programmes et personnalisations|Client|Difficulté|Accès|Gestion
Newsletter et promotions|Demande pour s'abonner ou se désabonner de la newsletter.|Informations et services spécialisés|Services exclusifs, programmes et personnalisations|Promotion|Inscription|Abonnement|Demande
Feedback produit|Avis et commentaires sur les produits achetés.|Support client opérationnel|Services exclusifs, programmes et personnalisations|Produit|Avis|Commentaire|Expérience
Questions sur la politique de retour|Clarifications sur les conditions de retour.|Informations et services spécialisés|Services exclusifs, programmes et personnalisations|Retour|Condition|Clarification|Assistance
Demande de suivi de retour|Statut d'un retour ou d'un échange en cours.|Support client opérationnel|Commandes, livraison et suivi|Retour|Statut|Échange|Commande
Frais de livraison|Questions sur le coût et les options de livraison.|Support client opérationnel|Commandes, livraison et suivi|Livraison|Option|Coût|Information
Options de livraison express|Information sur la livraison rapide.|Support client opérationnel|Commandes, livraison et suivi|Express|Option|Rapide|Service
Demande de packaging cadeau|Souhait d'un emballage cadeau pour une commande.|Informations et services spécialisés|Services exclusifs, programmes et personnalisations|Cadeau|Commande|Demande|Spécial
Problèmes de site web|Difficultés techniques rencontrées sur le site.|Informations et services spécialisés|Services exclusifs, programmes et personnalisations|Site|Technique|Navigation|Difficulté
Conseils de style|Demande d'aide pour choisir des tenues ou des articles.|Informations et services spécialisés|Services exclusifs, programmes et personnalisations|Conseil|Mode|Choix|Tenue
Demande de catalogue|Souhait de recevoir le catalogue des produits.|Informations et services spécialisés|Services exclusifs, programmes et personnalisations|Produit|Demande|Réception|Information
Informations sur les matériaux|Questions sur les tissus et matériaux utilisés.|Informations et services spécialisés|Conseils et informations produits|Information|Tissu|Produit|Curiosité
Demande de mesure|Besoin de dimensions précises d'un article.|Informations et services spécialisés|Conseils et informations produits|Précise|Article|Dimension|Besoin
Informations sur les soins du produit|Conseils pour le nettoyage et l'entretien.|Informations et services spécialisés|Services exclusifs, programmes et personnalisations|Produit|Conseil|Nettoyage|Entretien
Rupture de stock|Demande d'alerte pour la disponibilité d'un produit.|Informations et services spécialisés|Services exclusifs, programmes et personnalisations|Stock|Produit|Disponibilité|Alerte
Plainte service client|Insatisfaction concernant une interaction précédente.|Informations et services spécialisés|Services exclusifs, programmes et personnalisations|Service|Client|Insatisfaction|Interaction
Demande de partenariat|Entreprises ou influenceurs cherchant à collaborer.|Informations et services spécialisés|Services exclusifs, programmes et personnalisations|Demande|Collaboration|Influenceur|Entreprise
Sécurité des transactions|Inquiétudes concernant la sécurité des achats en ligne.|Support client opérationnel|Services exclusifs, programmes et personnalisations|Transaction|Achat|Ligne|Confiance
Demande de sponsoring|Recherche de soutien pour des événements ou des initiatives.|Informations et services spécialisés|Services exclusifs, programmes et personnalisations|Demande|Initiative|Soutien|Projet
Questions sur la durabilité|Intérêt pour les pratiques éco-responsables de la marque.|Informations et services spécialisés|Engagements, événements et initiatives|Question|Pratique|Responsabilité|Engagement
Programme de fidélité|Questions sur le fonctionnement ou les avantages du programme.|Informations et services spécialisés|Services exclusifs, programmes et personnalisations|Fidélité|Fonctionnement|Avantage|Client
Demande de conseils pour cadeaux|Aide pour choisir le cadeau parfait.|Informations et services spécialisés|Services exclusifs, programmes et personnalisations|Cadeau|Idée|Choix|Spécial
Problème avec l'application mobile|Soucis rencontrés avec l'application de la marque.|Support client opérationnel|Assistance technique et support immédiat|Mobile|Problème|Soutien|Technique
Questions sur les tailles plus|Informations sur la gamme de tailles étendues.|Informations et services spécialisés|Conseils et informations produits|Plus|Information|Gamme|Extension
Demande de suivi international|Information sur les commandes hors du pays d'origine.|Informations et services spécialisés|Services exclusifs, programmes et personnalisations|International|Commande|Information|Statut
Informations sur les échanges internationaux|Processus d'échange pour les clients internationaux.|Informations et services spécialisés|Services exclusifs, programmes et personnalisations|International|Processus|Option|Client
Demande de conseils pour les retours internationaux|Comment retourner un produit depuis l'étranger.|Informations et services spécialisés|Services exclusifs, programmes et personnalisations|International|Conseil|Processus|Étranger
Questions sur les collaborations de marque|Informations sur les partenariats actuels ou futurs.|Informations et services spécialisés|Engagements, événements et initiatives|Marque|Partenariat|Information|Futur
Demande d'assistance pour un achat|Aide pour effectuer un achat sur le site.|Informations et services spécialisés|Services exclusifs, programmes et personnalisations|Achat|Site|Service|Client
Problèmes de livraison internationale|Questions ou problèmes concernant la livraison hors du pays.|Support client opérationnel|Services exclusifs, programmes et personnalisations|Internationale|Problème|Question|Option
Demande de personnalisation|Possibilité de personnaliser des produits pour des occasions spéciales.|Informations et services spécialisés|Conseils et informations produits|Produit|Option|Spécial|Occasion
Inquiétudes sur les colorants et les allergies|Questions sur les matériaux et colorants utilisés pour les personnes ayant des sensibilités ou allergies.|Informations et services spécialisés|Conseils et informations produits|Colorant|Allergie|Sécurité|Matériau
